frameno,prompt,2d-zoom,2d-angle,2d-transformcenterx,2d-transformcentery,shared-translationx,shared-translationy,3d-translationz,3d-rotationx,3d-rotationy,3d-rotationz
0,"And when it was decided that we should sail for Italy, they delivered Paul and some other prisoners to a centurion of the Augustan Cohort named Julius., style of Marcin Jakubowski",0.995,0,0.5,0.5,0,0,1.75,0,0,0
50,,1,,0.6,0.4,,,,,,
100,,1.005,,0.5,,,,,,,
150,"And embarking in a ship of Adramyttium, which was about to sail to the ports along the coast of Asia, we put to sea, accompanied by Aristarchus, a Macedonian from Thessalonica., style of Scott Naismith, style of Coles Phillips",,,0.4,0.3,0,,,,,
200,"The next day we put in at Sidon. And Julius treated Paul kindly and gave him leave to go to his friends and be cared for., style of Daniel Merriam",,,0.3,,-1,,,,,
250,,1.005,0,,,-2,,,0,,
300,,1.05,0.5,0.4,,-1,,,1,,
350,"And putting out to sea from there we sailed under the lee of Cyprus, because the winds were against us., style of Aristarkh Lentulov, style of Android Jones",1.1,0.8,0.5,0.5,0,,,,0,
400,,1,0.5,,,,,,,-1,
450,,1.05,0,,,,0,,0,,
500,"And when we had sailed across the open sea along the coast of Cilicia and Pamphylia, we came to Myra in Lycia., style of Guo Pei, style of Norman Ackroyd",1.1,,,,,1,,,0,
550,,1.005,,0.6,0.5,,2,,,,
600,"There the centurion found a ship of Alexandria sailing for Italy and put us on board., style of Brent Heighton, style of William Eggleston",1,0,,0.6,0,1,,0,,
650,,0.99,0.4,,0.7,-1,0,,-1,,
700,"We sailed slowly for a number of days and arrived with difficulty off Cnidus, and as the wind did not allow us to go farther, we sailed under the lee of Crete off Salmone., style of Barry McGee",1,0,,,,,,,0,
750,,,,,0.6,0,,,,-1,
800,,,,,,0,0,,0,,
850,"Coasting along it with difficulty, we came to a place called Fair Havens, near which was the city of Lasea., style of Rebecca Guay, style of Alexander Jansson, style of Andre Masson",1,,0.5,0.5,1,-1,,,,
900,,1.005,,,,,,,,0,
950,"Since much time had passed, and the voyage was now dangerous because even the Fast was already over, Paul advised them,, style of Lotte Reiniger, style of Santiago Caruso, style of Ambrosius Holbein",,0,,,0,-2,,,0,
1000,,,-0.5,0.6,,,0,,0,1,
1050,"saying, ""Sirs, I perceive that the voyage will be with injury and much loss, not only of the cargo and the ship, but also of our lives."", style of Misha Gordin, style of Guy Denning, style of Norman Ackroyd",,,0.7,,,,,-0.5,,
1100,,1,-0.6,0.8,,0,,,,0,
1150,,0.995,-0.8,,0.4,1,0,,-1,,
1200,"But the centurion paid more attention to the pilot and to the owner of the ship than to what Paul said., style of Greg Rutkowski, style of Alfred Kubin",1,-0.2,,,,1,,,,
1250,,0.995,0,0.7,,0,-1,,-2,,
1300,"And because the harbor was not suitable to spend the winter in, the majority decided to put out to sea from there, on the chance that somehow they could reach Phoenix, a harbor of Crete, facing both southwest and northwest, and spend the winter there., style of Beatrix Potter, style of Francesco Francavilla",1,,,0.3,0,0,,-0.5,0,
1350,,1.1,,0.6,,-1,,,,-1,
1400,"Now when the south wind blew gently, supposing that they had obtained their purpose, they weighed anchor and sailed along Crete, close to the shore., style of Alex Ross, style of Coles Phillips",1.05,0,0.5,,,,,0,,
1450,,1.005,-0.3,0.4,0.2,,0,,0,-2,
1500,,,-0.1,,,0,-2,,-2,-1,
1550,"But soon a tempestuous wind, called the northeaster, struck down from the land., style of Santiago Caruso, style of Lotte Reiniger, style of Rebecca Guay",,0,0.5,0.5,,-1,,-1,0,
1600,,,,,,0,0,,0,,
1650,"And when the ship was caught and could not face the wind, we gave way to it and were driven along., style of Alex Timmermans, style of Marc Chagall, style of Rebecca Guay",,,,,1,,,,0,
1700,,1.005,0,,,2,,,,-1,
1750,,1.05,-0.3,0.4,0.6,0,0,,0,,
1800,"Running under the lee of a small island called Cauda, we managed with difficulty to secure the ship's boat., style of Norman Rockwell",1.1,-0.1,,,,1,,1,,
1850,,1,,,0.7,,0,,2,,
1900,"After hoisting it up, they used supports to undergird the ship. Then, fearing that they would run aground on the Syrtis, they lowered the gear, and thus they were driven along., style of Francesco del Cossa",1.005,0,,,0,,,1,0,
1950,,,,,0.8,1,,,,,
2000,"Since we were violently storm-tossed, they began the next day to jettison the cargo., style of Mattias Adolfsson, style of Hannah Yata",,,0.5,,,,,0,0,
2050,,,,,,,,,,-1,
2100,,,0,0.6,0.7,0,,,0,0,
2150,,1.05,0.5,,,0,0,,-1,1,
2200,"And on the third day they threw the ship's tackle overboard with their own hands., style of Alex Ross",,,,,-1,1,,0,0,
2250,,,0,0.7,,-2,,,1,,
2300,,1.1,,0.6,0.6,,0,,,0,
2350,"When neither sun nor stars appeared for many days, and no small tempest lay on us, all hope of our being saved was at last abandoned., style of Alan Lee",,,,,-1,,,,1,
2400,,1.005,,0.5,,0,0,,0,0,
2450,"Since they had been without food for a long time, Paul stood up among them and said, ""Men, you should have listened to me and not have set sail from Crete and incurred this injury and loss., style of Alex Grey, style of Guo Pei, style of Francesco del Cossa",1,,,,,1,,0,,
2500,,0.995,0,0.5,0.5,,0,,-1,,
2550,,,,,,0,-1,,0,,
2600,"Yet now I urge you to take heart, for there will be no loss of life among you, but only of the ship., style of Coles Phillips, style of Giorgio Morandi",,,,,1,,,,0,
