id,prompt,frameno
0,"And when it was decided that we should sail for Italy, they delivered Paul and some other prisoners to a centurion of the Augustan Cohort named Julius., style of Marcin Jakubowski",0
1,"And embarking in a ship of Adramyttium, which was about to sail to the ports along the coast of Asia, we put to sea, accompanied by Aristarchus, a Macedonian from Thessalonica., style of Scott Naismith, style of Coles Phillips",113
2,"The next day we put in at Sidon. And Julius treated Paul kindly and gave him leave to go to his friends and be cared for., style of Daniel Merriam",198
3,"And putting out to sea from there we sailed under the lee of Cyprus, because the winds were against us., style of Aristarkh Lentulov, style of Android Jones",334
4,"And when we had sailed across the open sea along the coast of Cilicia and Pamphylia, we came to Myra in Lycia., style of Guo Pei, style of Norman Ackroyd",477
5,"There the centurion found a ship of Alexandria sailing for Italy and put us on board., style of Brent Heighton, style of William Eggleston",569
6,"We sailed slowly for a number of days and arrived with difficulty off Cnidus, and as the wind did not allow us to go farther, we sailed under the lee of Crete off Salmone., style of Barry McGee",698
7,"Coasting along it with difficulty, we came to a place called Fair Havens, near which was the city of Lasea., style of Rebecca Guay, style of Alexander Jansson, style of Andre Masson",839
8,"Since much time had passed, and the voyage was now dangerous because even the Fast was already over, Paul advised them,, style of Lotte Reiniger, style of Santiago Caruso, style of Ambrosius Holbein",931
9,"saying, ""Sirs, I perceive that the voyage will be with injury and much loss, not only of the cargo and the ship, but also of our lives."", style of Misha Gordin, style of Guy Denning, style of Norman Ackroyd",1043
10,"But the centurion paid more attention to the pilot and to the owner of the ship than to what Paul said., style of Greg Rutkowski, style of Alfred Kubin",1164
11,"And because the harbor was not suitable to spend the winter in, the majority decided to put out to sea from there, on the chance that somehow they could reach Phoenix, a harbor of Crete, facing both southwest and northwest, and spend the winter there., style of Beatrix Potter, style of Francesco Francavilla",1252
12,"Now when the south wind blew gently, supposing that they had obtained their purpose, they weighed anchor and sailed along Crete, close to the shore., style of Alex Ross, style of Coles Phillips",1354
13,"But soon a tempestuous wind, called the northeaster, struck down from the land., style of Santiago Caruso, style of Lotte Reiniger, style of Rebecca Guay",1519
14,"And when the ship was caught and could not face the wind, we gave way to it and were driven along., style of Alex Timmermans, style of Marc Chagall, style of Rebecca Guay",1637
15,"Running under the lee of a small island called Cauda, we managed with difficulty to secure the ship's boat., style of Norman Rockwell",1756
16,"After hoisting it up, they used supports to undergird the ship. Then, fearing that they would run aground on the Syrtis, they lowered the gear, and thus they were driven along., style of Francesco del Cossa",1898
17,"Since we were violently storm-tossed, they began the next day to jettison the cargo., style of Mattias Adolfsson, style of Hannah Yata",1989
18,"And on the third day they threw the ship's tackle overboard with their own hands., style of Alex Ross",2155
19,"When neither sun nor stars appeared for many days, and no small tempest lay on us, all hope of our being saved was at last abandoned., style of Alan Lee",2318
20,"Since they had been without food for a long time, Paul stood up among them and said, ""Men, you should have listened to me and not have set sail from Crete and incurred this injury and loss., style of Alex Grey, style of Guo Pei, style of Francesco del Cossa",2444
21,"Yet now I urge you to take heart, for there will be no loss of life among you, but only of the ship., style of Coles Phillips, style of Giorgio Morandi",2589
